protected,verified,location,followers_count,following_count,tweet_count,isFraud,un_no_of_char,un_special_char,un_uppercase,name_no_of_char,name_special_char,name_uppercase,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,account_age_in_days
0,0,1,1,0,10,1,13,0,1,14,0,1,0,0,0,1,4019
0,0,1,26,0,187,1,8,0,1,16,0,1,0,0,0,1,4016
0,0,1,6,0,10,1,13,0,0,20,0,1,0,0,0,1,4011
0,0,1,5,0,102,1,11,0,0,12,0,1,0,0,0,1,4001
0,0,1,4,0,15,1,7,1,0,13,0,0,0,0,0,1,4000
0,0,1,62,0,2670,1,15,1,0,16,0,0,0,1,0,1,3983
0,0,1,16,0,122,1,12,0,1,14,0,1,0,0,0,1,3999
0,0,1,3,0,3,1,13,0,0,15,0,1,0,0,0,1,3993
0,0,1,13,0,258,1,14,0,1,19,0,1,0,0,0,1,3993
0,0,1,1,0,36,1,9,1,1,9,0,1,0,0,0,0,3992
0,0,1,4,0,95,1,10,0,0,18,0,1,0,0,0,1,3989
0,0,1,6,0,212,1,13,1,1,13,0,1,0,0,0,0,3976
0,0,1,5,0,112,1,14,0,1,13,0,1,0,0,0,1,3978
0,0,1,14,0,8,1,14,0,0,13,0,1,0,0,0,1,3976
0,0,1,2,0,107,1,12,0,0,17,0,1,0,0,0,1,3974
0,0,1,22,0,112,1,9,0,0,7,0,0,0,0,0,1,3974
0,0,1,2,0,138,1,7,0,1,8,0,1,0,0,0,0,3973
0,0,1,16,0,84,1,10,0,0,11,0,1,0,0,0,1,3969
0,0,1,88,0,1318,1,12,0,0,4,0,0,0,6,0,0,3957
0,0,1,14,0,10045,1,12,0,0,13,0,0,0,0,0,1,3956
0,0,1,310,270,3233,1,6,0,0,19,0,1,0,0,0,1,3952
0,0,1,0,0,3,1,10,0,1,2,0,1,0,0,0,0,3953
0,0,1,10,0,81,1,8,0,1,17,0,1,0,0,1,0,3950
0,0,1,89,0,593,1,15,1,1,6,0,1,0,0,0,1,3946
0,0,1,924,1640,9557,1,12,0,0,1,0,0,0,0,0,1,3941
0,0,1,127,177,1723,1,12,0,1,13,0,1,0,0,0,1,3941
0,0,1,259,0,2394,1,9,1,0,11,0,1,0,0,0,0,3937
0,0,1,5,0,127,1,12,0,1,11,0,1,0,0,0,1,3940
0,0,1,117,0,7283,1,11,0,0,14,0,1,0,0,0,1,3938
0,0,1,3,0,12,1,14,0,0,14,0,0,0,0,0,1,3931
0,0,1,28,0,70,1,12,1,0,17,0,1,0,0,0,0,3931
0,0,1,0,0,81,1,10,0,1,3,0,0,0,0,0,1,3932
0,0,1,52,0,271,1,14,1,0,10,0,1,0,0,0,1,3922
0,0,1,10,0,24,1,15,0,1,12,0,1,0,0,0,1,3919
0,0,1,10,0,68,1,12,0,0,13,0,0,0,0,0,1,3929
0,0,1,2,0,16,1,6,1,0,15,0,1,0,0,0,1,3926
0,0,1,0,0,4,1,10,0,0,11,0,0,0,0,0,1,3894
0,0,1,9,94,285,1,10,0,0,11,0,1,0,0,0,1,3885
0,0,1,11,0,98,1,9,0,1,7,0,1,0,0,0,1,3893
0,0,1,4,0,3,1,10,0,0,3,0,0,0,0,0,1,3881
0,0,1,13,1376,19,1,14,0,1,13,0,1,0,0,0,1,3885
0,0,1,2,0,14,1,8,0,1,14,0,0,0,0,0,1,3880
0,0,1,27,0,102,1,15,0,1,17,0,1,0,0,0,0,3861
