verified,location,followers_count,following_count,tweet_count,isFraud,un_no_of_char,un_special_char,un_uppercase,name_no_of_char,name_special_char,name_uppercase,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,account_age_in_days
1,1,903735,211,7753,0,10,0,0,11,0,1,0,0,0,0,4749
0,0,699,456,12592,0,11,0,0,4,0,1,0,0,0,0,3305
1,0,1667685,301,5413,0,6,0,0,6,0,1,0,0,0,1,4671
0,0,14,1,2872,1,10,0,0,17,0,1,1,0,0,1,5626
1,1,4739,1195,3484,0,15,0,0,13,0,1,2,0,0,1,3327
0,1,1618,623,36393,0,11,0,0,8,0,0,0,0,0,1,3275
0,0,1,0,10,1,13,0,1,14,0,1,0,0,0,0,3981
0,0,927,805,280796,1,14,0,1,11,0,1,0,1,0,1,4902
1,1,704066,1769,40342,0,5,0,1,14,0,1,2,0,0,1,4343
0,1,1,0,142,1,15,0,1,5,0,1,0,0,0,1,2013
0,1,50911,1191,17760,0,9,0,0,10,0,0,0,1,0,1,4656
0,0,2,0,112,1,13,0,1,14,0,0,0,0,0,0,3055
0,1,172,1439,9983,0,14,0,0,4,0,0,0,2,0,1,2323
0,1,3491,4999,67481,1,15,0,1,17,0,1,0,0,0,1,2046
0,0,73,343,247,1,13,0,1,8,0,1,0,0,0,1,2192
0,1,103,267,4232,0,12,1,0,5,0,1,0,0,0,1,2087
0,1,3513,1914,18490,0,9,0,0,22,1,1,0,2,0,1,4642
0,0,126,2,6326,1,12,0,0,12,0,0,0,0,0,1,2334
1,1,1279381,388,9862,0,13,1,0,21,0,1,0,0,0,1,4646
0,0,10,29,1326,1,15,0,0,9,0,1,0,0,0,1,2226
1,1,1240070,669,41733,0,11,0,1,12,0,1,0,0,0,1,4935
0,0,825899,1539,38912,0,12,0,0,16,0,1,2,7,0,1,4900
1,1,493470,1382,70172,0,13,0,0,18,0,1,0,0,0,1,4796
0,1,1502,1920,45004,0,5,0,1,8,0,1,1,4,0,1,5245
0,1,10,8,2933,1,13,0,0,4,0,1,0,0,1,1,4182
1,1,110210,751,34553,0,8,1,1,9,0,1,0,0,0,1,4911
0,0,45,0,2087,1,9,0,0,5,0,0,0,0,0,0,4371
0,0,0,0,242,0,15,0,0,12,0,1,0,0,0,1,2028
0,1,8,0,131,1,11,0,0,14,0,1,0,0,0,1,4413
0,1,380,981,24554,0,11,0,1,9,0,1,5,0,0,1,3215
0,1,238,0,799,0,15,0,1,15,0,1,0,0,0,1,5057
0,1,2513,2510,11283,0,11,0,1,14,0,1,0,0,0,1,4601
1,1,1081563,1522,12664,0,10,0,1,21,0,1,0,0,1,1,4889
1,1,1746422,235,1031,0,4,0,1,9,0,1,5,0,0,1,4288
0,1,83,47,13593,1,5,0,0,1,0,0,0,0,0,0,2389
0,1,14,23,3100,1,8,0,1,13,0,1,0,0,0,1,2456
0,1,1029,1639,3400,1,13,1,0,20,0,1,0,1,0,1,4897
0,1,9,0,1216,1,14,0,1,5,0,1,0,0,0,1,3025
0,1,71,297,1633,0,14,0,0,15,0,1,0,0,0,1,4262
0,1,4,44,250,1,10,0,0,9,0,0,0,0,0,0,1929
0,0,0,0,182,0,15,0,0,11,0,0,0,0,0,1,1884
1,0,1749644,2756,1231519,1,14,0,1,15,0,1,0,0,1,1,4523
0,1,1385,936,99943,0,12,0,1,8,0,1,0,0,0,1,3971
0,1,1429,3480,30705,0,8,0,0,14,0,1,0,0,0,1,4166
0,0,0,0,122,0,11,0,1,16,0,1,0,0,0,1,2199
0,0,2,0,200,0,13,1,1,13,0,1,0,0,0,1,2225
1,1,1266645,775558,55288,1,14,0,1,14,0,1,0,0,0,1,3993
0,1,792,682,66372,0,8,1,1,18,0,1,1,1,0,1,4953
0,0,1,0,214,1,13,0,0,11,0,0,0,0,0,1,1935
0,0,282,428,46251,0,15,1,0,15,0,1,0,0,0,1,4233
0,1,4445,4277,206465,0,15,0,1,14,0,1,0,0,1,1,4049
0,0,5,706,274,0,13,0,0,8,0,0,0,0,0,0,2031
0,1,106,384,10435,0,7,0,1,7,0,1,0,0,0,1,4989
0,1,892,439,16700,0,7,0,1,3,0,0,0,0,0,0,2655
0,0,289,0,13238,0,10,1,0,4,0,1,0,0,0,1,4905
0,0,0,0,164,1,14,0,0,11,0,0,0,0,0,1,1936
1,1,132683,2288,288,0,11,0,1,12,0,1,0,0,0,1,5025
0,1,13942,7471,566759,1,8,0,1,9,0,1,0,0,0,1,3176
0,1,1683,667,40501,0,3,0,1,14,0,1,0,0,0,1,5645
0,1,1342,3068,49998,0,14,0,1,25,0,0,1,1,0,1,5372
0,1,558,947,21064,0,9,0,0,4,0,1,0,0,0,1,4440
1,1,3330069,818,26696,0,13,0,0,18,0,1,0,0,0,1,4947
0,1,1823,990,37308,0,15,1,1,15,0,1,1,0,0,1,3693
0,1,554547,132,6029,0,15,1,0,15,0,0,0,0,0,0,3991
1,1,5134,466,31084,0,11,0,1,3,0,1,1,9,0,1,3837
0,1,18,0,1585,1,12,0,1,14,0,1,0,0,0,0,3915
0,0,5,0,1943,1,8,0,0,13,0,0,0,0,0,0,4627
1,0,54959,236,8408,0,13,0,0,20,0,0,0,1,0,1,4986
0,0,37,46,2297,1,8,0,0,14,0,1,0,0,0,0,4970
0,0,47,813,1063,0,10,0,1,6,0,1,0,0,0,1,2615
1,1,201058,615,19331,0,15,0,1,19,0,1,0,0,0,1,4201
